"well"	"Hours"	"Minutes"	"value"	"Strain"	"volume"	"condition"	"Phages"	"bacteria"
"F3"	73.3	4340	0.235	"V587"	20	"1 Phage"	"Ben"	0.05
"F4"	73.3	4340	0.202	"V587"	20	"1 Phage"	"Ben"	0.05
"F5"	73.3	4340	0.215	"V587"	20	"1 Phage"	"Ben"	0.05
"F6"	73.3	4340	0.224	"V587"	20	"1 Phage"	"Ben"	0.05
"F7"	73.3	4340	0.221	"V587"	20	"1 Phage"	"Bill"	0.05
"F8"	73.3	4340	0.378	"V587"	20	"1 Phage"	"Bill"	0.05
"F9"	73.3	4340	0.23	"V587"	20	"1 Phage"	"Bill"	0.05
"G1"	73.3	4340	0.276	"V587"	20	"1 Phage"	"Bob"	0.05
"G10"	73.3	4340	0.396	"V587"	20	"1 Phage"	"Car"	0.05
"G11"	73.3	4340	0.407	"V587"	20	"1 Phage"	"Car"	0.05
"G12"	73.3	4340	0.489	"V587"	20	"1 Phage"	"Car"	0.05
"G2"	73.3	4340	0.202	"V587"	20	"1 Phage"	"Bob"	0.05
"G3"	73.3	4340	0.203	"V587"	20	"1 Phage"	"Bob"	0.05
"G4"	73.3	4340	0.199	"V587"	20	"1 Phage"	"Bob"	0.05
"G5"	73.3	4340	0.207	"V587"	20	"1 Phage"	"Bob"	0.05
"G6"	73.3	4340	0.224	"V587"	20	"1 Phage"	"Bob"	0.05
"G7"	73.3	4340	0.437	"V587"	20	"1 Phage"	"Car"	0.05
"G8"	73.3	4340	0.462	"V587"	20	"1 Phage"	"Car"	0.05
"G9"	73.3	4340	0.365	"V587"	20	"1 Phage"	"Car"	0.05
"H1"	73.3	4340	0.212	"V587"	20	"1 Phage"	"Carl"	0.05
"H10"	73.3	4340	0.189	"V587"	20	"1 Phage"	"Carl"	0.05
"H11"	73.3	4340	0.255	"V587"	20	"1 Phage"	"Carl"	0.05
"H12"	73.3	4340	0.303	"V587"	20	"1 Phage"	"Carl"	0.05
"H2"	73.3	4340	0.255	"V587"	20	"1 Phage"	"Carl"	0.05
"H3"	73.3	4340	0.226	"V587"	20	"1 Phage"	"Carl"	0.05
"H4"	73.3	4340	0.223	"V587"	20	"1 Phage"	"Carl"	0.05
"H5"	73.3	4340	0.226	"V587"	20	"1 Phage"	"Carl"	0.05
"H6"	73.3	4340	0.296	"V587"	20	"1 Phage"	"Carl"	0.05
"H7"	73.3	4340	0.231	"V587"	20	"1 Phage"	"Carl"	0.05
"H8"	73.3	4340	0.285	"V587"	20	"1 Phage"	"Carl"	0.05
"H9"	73.3	4340	0.234	"V587"	20	"1 Phage"	"Carl"	0.05
