"well"	"Hours"	"Minutes"	"value"	"Strain"	"volume"	"condition"	"Phages"	"bacteria"
"F9"	64.34	3810	0.1798	"Yi6"	20	"1 Phage"	"CCS2"	0.05
"G1"	64.34	3810	0.3283	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"G10"	64.34	3810	0.4859	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"G11"	64.34	3810	0.4617	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"G12"	64.34	3810	0.5028	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"G2"	64.34	3810	0.2556	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"G3"	64.34	3810	0.2673	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"G4"	64.34	3810	0.3743	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"G9"	64.34	3810	0.3676	"Yi6"	20	"1 Phage"	"SDS1"	0.05
"H1"	64.34	3810	0.2826	"Yi6"	20	"1 Phage"	"Carl"	0.05
"H10"	64.34	3810	0.4968	"Yi6"	20	"1 Phage"	"Bill"	0.05
"H11"	64.34	3810	0.398	"Yi6"	20	"1 Phage"	"Bill"	0.05
"H12"	64.34	3810	0.5539	"Yi6"	20	"1 Phage"	"Bill"	0.05
"H2"	64.34	3810	0.6075	"Yi6"	20	"1 Phage"	"Carl"	0.05
"H3"	64.34	3810	0.5952	"Yi6"	20	"1 Phage"	"Carl"	0.05
"H4"	64.34	3810	0.3416	"Yi6"	20	"1 Phage"	"Carl"	0.05
"H9"	64.34	3810	0.5814	"Yi6"	20	"1 Phage"	"Bill"	0.05
