Host	Phage	Timepoint (Hr)	MOI 0.1	MOI 0.1	MOI 0.1	Mean (MOI 0.1)	MOI 0.01	MOI 0.01	MOI 0.01	Mean (MOI 0.01)	MOI 0.001	MOI 0.001	MOI 0.001	Mean (MOI 0.001)	Positive control	Positive control	Positive control	Mean	Negative control (Only BHI)	Negative control (Only BHI)	Negative control (Only BHI)	Mean
EF06	EF06_PG9	72	0.331	0.3431	0.3328	0.335633333	0.318	0.3676	0.3246	0.336733333	0.4482	0.3969	0.4867	0.443933333	1.5255	1.5286	1.5729	1.542333333	0.1083	0.113	0.1147	0.112
EF06	EF06_PG11	72	1.0725	0.103	0.1011	0.425533333	0.3359	0.4315	0.5026	0.423333333	0.129	0.4948	0.6058	0.409866667	1.5255	1.5286	1.5729	1.542333333	0.1083	0.113	0.1147	0.112
EF06	EF06_PG13	72	0.8654	0.9207	1.0161	0.934066667	0.758	0.2499	0.7677	0.591866667	0.7668	0.4198	0.5798	0.5888	1.5255	1.5286	1.5729	1.542333333	0.1083	0.113	0.1147	0.112
EF06	EF06_Cocktail 1 (SDS2 + Ben)	72	0.1073	0.1104	0.1087	0.1088	0.1096	0.1157	0.1082	0.111166667	0.1231	0.1386	0.1158	0.125833333	0.9129	0.8758	0.858	0.882233333	0.1053	0.1088	0.1091	0.107733333
EF06	EF06_Cocktail 2 (SDS2 + Bop)	72	0.1053	0.105	0.1051	0.105133333	0.1072	0.107	0.1073	0.107166667	0.1083	0.107	0.1048	0.1067	0.9129	0.8758	0.858	0.882233333	0.1053	0.1088	0.1091	0.107733333
EF06	EF06_Cocktail 3 (Ben + Bop)	72	0.1852	0.3458	0.2166	0.2492	0.339	0.3033	0.328	0.323433333	0.435	0.446	0.5516	0.477533333	0.9129	0.8758	0.858	0.882233333	0.1053	0.1088	0.1091	0.107733333
EF06	EF06_Cocktail 4 (Ben + Bop + SDS2)	72	0.1068	0.1072	0.1224	0.112133333	0.1099	0.1088	0.1095	0.1094	0.1093	0.1101	0.1077	0.109033333	0.9129	0.8758	0.858	0.882233333	0.1053	0.1088	0.1091	0.107733333
EF06	EF06_Cocktail 5 (PG9+PG11+PG13)	72	0.2639	0.3242	0.3634	0.317166667	0.1457	0.112	0.2174	0.158366667	0.1193	0.1174	0.1122	0.1163	0.9702	0.9168	0.87	0.919	0.103	0.103	0.1036	0.1032
EF06	EF06_Cocktail 6  (PG2+PG9+PG13)	72	0.3	0.3675	0.4473	0.3716	0.1034	0.3835	0.6644	0.383766667	0.111	0.1136	0.1117	0.1121	0.9702	0.9168	0.87	0.919	0.103	0.103	0.1036	0.1032
EF06	EF06_Cocktail 7  (PG2+PG9+PG11)	72	0.3275	0.3445	0.3658	0.345933333	0.1081	0.1052	0.3166	0.176633333	0.1227	0.1096	0.1114	0.114566667	0.9702	0.9168	0.87	0.919	0.103	0.103	0.1036	0.1032
EF06	EF06_V12	72	0.596	0.6871	0.5407	0.607933333	0.7845	0.8043	0.8162	0.801666667	0.5699	0.5671	0.5908	0.575933333	0.9255	0.8652	0.8514	0.8807	0.1299	0.13	0.1316	0.1305
EF06	EF06_CCS2	72	0.3116	0.1428	0.3634	0.2726	0.4727	0.2501	0.3752	0.366	0.4727	0.18	0.4478	0.366833333	0.9255	0.8652	0.8514	0.8807	0.1299	0.13	0.1316	0.1305
EF06	EF06_SDS1	72	0.8048	0.7383	0.7165	0.7532	0.2648	0.5581	0.413	0.411966667	0.7335	0.7309	0.7773	0.747233333	0.9255	0.8652	0.8514	0.8807	0.1299	0.13	0.1316	0.1305
EF06	EF06_Cocktail 8  (V12+CCS2)	72	0.3034	0.3202	0.1608	0.261466667	0.3258	0.3972	0.544	0.422333333	0.2362	0.4247	0.4646	0.375166667	0.9255	0.8652	0.8514	0.8807	0.1299	0.13	0.1316	0.1305
EF06	EF06_Cocktail 9  (SDS1+SDS2)	72	0.299	0.1678	0.1718	0.212866667	0.2362	0.1919	0.2376	0.2219	0.2994	0.1307	0.1317	0.187266667	0.9255	0.8652	0.8514	0.8807	0.1299	0.13	0.1316	0.1305
EF06	EF06_Cocktail 10  (V12+CCS2+SDS1)	72	0.2789	0.2626	0.2908	0.277433333	0.2852	0.3634	0.2811	0.3099	0.208	0.3114	0.2179	0.245766667	0.9255	0.8652	0.8514	0.8807	0.1299	0.13	0.1316	0.1305
