"well"	"Hours"	"Minutes"	"value"	"Strain"	"volume"	"condition"	"Phages"	"bacteria"
"D4"	68.2	4040	0.1163	"Yi6"	20	"2 Phages"	"Bill, Ump"	0.05
"D9"	68.2	4040	0.1114	"Yi6"	20	"2 Phages"	"Carl, Ump"	0.05
"E1"	68.2	4040	0.1109	"Yi6"	20	"2 Phages"	"Bill, SDS2"	0.05
"E10"	68.2	4040	0.1125	"Yi6"	20	"2 Phages"	"Carl, SDS2"	0.05
"E11"	68.2	4040	0.1129	"Yi6"	20	"2 Phages"	"Carl, SDS2"	0.05
"E12"	68.2	4040	0.1096	"Yi6"	20	"2 Phages"	"Carl, SDS2"	0.05
"E2"	68.2	4040	0.1069	"Yi6"	20	"2 Phages"	"Bill, SDS2"	0.05
"E3"	68.2	4040	0.1096	"Yi6"	20	"2 Phages"	"Bill, SDS2"	0.05
"E4"	68.2	4040	0.1094	"Yi6"	20	"2 Phages"	"Bill, SDS2"	0.05
"E9"	68.2	4040	0.1082	"Yi6"	20	"2 Phages"	"Carl, SDS2"	0.05
"F1"	68.2	4040	0.9571	"Yi6"	20	"1 Phage"	"Ump"	0.05
"F10"	68.2	4040	0.2092	"Yi6"	20	"1 Phage"	"Ump"	0.05
"F11"	68.2	4040	0.254	"Yi6"	20	"1 Phage"	"Ump"	0.05
"F12"	68.2	4040	0.3338	"Yi6"	20	"1 Phage"	"Ump"	0.05
"F2"	68.2	4040	0.2657	"Yi6"	20	"1 Phage"	"Ump"	0.05
"F3"	68.2	4040	0.6474	"Yi6"	20	"1 Phage"	"Ump"	0.05
"F4"	68.2	4040	0.2817	"Yi6"	20	"1 Phage"	"Ump"	0.05
"F9"	68.2	4040	1.3237	"Yi6"	20	"1 Phage"	"Ump"	0.05
"G1"	68.2	4040	0.1071	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"G10"	68.2	4040	0.1091	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"G11"	68.2	4040	0.1184	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"G12"	68.2	4040	0.1056	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"G2"	68.2	4040	0.1054	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"G3"	68.2	4040	0.1167	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"G4"	68.2	4040	0.1081	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"G9"	68.2	4040	0.1075	"Yi6"	20	"1 Phage"	"SDS2"	0.05
"H1"	68.2	4040	0.4337	"Yi6"	20	"1 Phage"	"Bill"	0.05
"H10"	68.2	4040	0.5769	"Yi6"	20	"1 Phage"	"Carl"	0.05
"H11"	68.2	4040	0.5476	"Yi6"	20	"1 Phage"	"Carl"	0.05
"H12"	68.2	4040	0.6523	"Yi6"	20	"1 Phage"	"Carl"	0.05
"H2"	68.2	4040	0.3611	"Yi6"	20	"1 Phage"	"Bill"	0.05
"H3"	68.2	4040	0.4645	"Yi6"	20	"1 Phage"	"Bill"	0.05
"H4"	68.2	4040	0.544	"Yi6"	20	"1 Phage"	"Bill"	0.05
"H9"	68.2	4040	0.5526	"Yi6"	20	"1 Phage"	"Carl"	0.05
